,question,answer,group_id
0,In what platform do the key nn modules run?,FP32,11167
1,What module implements versions of the key nn modules Conv2d() and Linear() which run in FP32 but with rounding?,torch.nn.quantized,7751
2,What module implements versions of the key nn modules Conv2d() and Linear()?,torch.nn.quantized,7751
3,What converts the weights to int8 and replaces the operations with their quantized counterparts?,convert(),7751
4,What module implements the quantized implementations of fused operations like conv + relu?,torch.nn.intrinsic.quantized,7751
5,What is needed for quantization aware training?,fused operations,7754
6,Conv2d and Linear() use rounding to simulate the effect of what?,INT8 quantization,7754
7,In what platform do the modules Conv2d() and Linear() run?,FP32,7754
8,What are fused operations needed for?,quantization aware training,7754
9,In what platform do Conv2d() and Linear() run?,FP32,7753
10,What are some of the fused operations implemented by this module?,conv + relu,7753
11,What does torch.nn.quantized implement?,nn layers,7753
12,What does torch.nn.quantized.dynamic implement?,"Dynamically quantized Linear, LSTM, LSTMCell, GRUCell, and RNNCell",7753
13,What are the quantized implementations of fused operations?,conv + relu,7753
14,What quantization does the FP32 version of Conv2d and Linear() simulate?,INT8,7753
15,What does torch.nn.quantized implement the quantized versions of?,nn layers,11169
16,What is the name of the module that implements the quantized versions of the nn layers?,torch.nn.quantized,11169
17,What are some fused operations implemented by torch.nn.intrinsic.quantized?,conv + relu,11169
18,What quantization does the rounding of the nn modules simulate?,INT8,11169
19,What module implements quantized versions of the nn layers?,torch.nn.quantized.dynamic,11169
20,What is one of the quantized versions of the nn layers?,torch.nn.Conv2d,11206
21,What quantization does the rounding of the key nn modules simulate?,INT8,11206
22,What is another name for GRUCell?,RNNCell,11206
23,What are some of the fused operations implemented by torch.nn.intrinsic.quantized?,conv + relu,11206
24,What is one of the quantized versions of nn layers?,RNNCell,11164
25,What does torch.is_grad_enabled return if grad mode is currently enabled?,True,11081
26,What is used to fake quantize a tensor?,"scale, zero_point, quant_min and quant_max",5379
27,What is the input value in torch.fake_quantize_per_tensor_affine?,torch.float32,11054
28,What is quant_min in torch.fake_quantize_per_tensor_affine?,the lower bound of quantized domain,11054
29,What does torch.fake_quantize_per_tensor_affine return?,fake_quantized tensor,11054
30,What is zero_point in torch.fake_quantize_per_tensor_affine?,quantization zero_point,11054
31,What does Bernoulli(p) do?,Tensor.bernoulli_ fills each location of self with an independent sample from Bernoulli(p),6269
32,What type of dtype can self have?,integral dtype,6270
33,If input to Tensor.bernoulli_ is a tensor then what is the value of ith element,It is set to a value sampled from Bernoulli(p_tensor[i]),6270
34,If input to Tensor.bernoulli_ is a tensor then what is dtype of p?,floating point dtype,6270
35,What should p be?,scalar or tensor,6270
36,What should either be a scalar or tensor containing probabilities to be used for drawing the binary random number?,p,10364
37,Which matrices must be 3-D tensors each containing the same number of matrices as input to torch.baddbmm?,batch1 and batch2,11010
38,What is added to the final result of torch.baddbmm?,input,11010
39,What is the shape of batch1 temsor in torch.baddbmm?, (bnm)(b times n times m),3813
40,What are same in torch.baddbmm as the scaling factors used in torch.addbmm()?,alpha and beta,3815
41,"What will not be propagated, if beta is zero in torch.baddbmm?",nan and inf in batch1 and batch2 tensor,3815
42,When will input will be ignored and nan and inf in it will not be propagated in torch.baddbmm?,"If beta is 0,",3817
43,"For inputs of type FloatTensor or DoubleTensor, arguments beta and alpha must be what in torch.baddbmm?",real numbers,3814
44,Which operator supports TensorFloat32?,torch.baddbmm,3816
45,"What will be ignored if beta is 0 , in torch.baddbmm?",input,3816
46,Which operator supports TensorFloat32?,torch.baddbmm,3816
47,What is the first batch to be multiplied in torch.baddbmm?,batch1,2544
48,Does torch.all test if all elements in input evaluate to True?,Yes,10984
49,torch.all matches the behavior of what function in returning output of dtype bool?,NumPy,4516
50,For what dtype is the dtype of output uint8 itself in torch.all?,uint8,10982
51,torch.all matches the behaviour of what function in returning output of dtype bool for all supported dtypes except uint8?,NumPy,10982
52,"In torch.all for each row of input in the dimension dim, what returns if all elements in the row evaluate to True?",True,10985
53,"In torch.all what is the output size, if keepdim is True?",same size as input,2316
54,"In torch.all if keepdim is True, what is an exception of output tensor size?",the output tensor is of the same size as input except in the dimension dim where it is of size 1.,3810
55,"In torch.all if keepdim is false, the output tensor has how many dimensions less than input?",1,3810
56,"In torch.all if keepdim is false, how is the output tensor size reduced?",by using torch.squeeze,3810
57,"In torch.all if keepdim is True, what is of the same size as input?",the output tensor,3812
58,"In torch.all if keepdim is True, the output tensor has how much less dimension than input?",1,3812
59,In torch.all what does dim (int) represent?,the dimension to reduce,3811
60,"In torch.all for each row of input in a given dimension dim, what returns if all elements in the row evaluate to True?",True,3811
