,id,question,answer,context,group_id,groups
0,0,"What values are specified to replaceNaN, positive infinity, and negative infinity values in input?","bynan,posinf, andneginf","ReplacesNaN, positive infinity, and negative infinity values in inputwith the values specified bynan,posinf, andneginf, respectively.
By default,NaN`sarereplacedwithzero,positiveinfinityisreplacedwiththegreatestfinitevaluerepresentableby:attr:`input’s dtype, and negative infinity
is replaced with the least finite value representable byinput’s dtype. input(Tensor) – the input tensor. nan(Number,optional) – the value to replaceNaNs with. Default is zero. ",141,"[0, 1, 2, 3]"
1,1,"By default,NaN is replaced with what value?",zero,"ReplacesNaN, positive infinity, and negative infinity values in inputwith the values specified bynan,posinf, andneginf, respectively.
By default,NaN`sarereplacedwithzero,positiveinfinityisreplacedwiththegreatestfinitevaluerepresentableby:attr:`input’s dtype, and negative infinity
is replaced with the least finite value representable byinput’s dtype. input(Tensor) – the input tensor. nan(Number,optional) – the value to replaceNaNs with. Default is zero. ",141,"[0, 1, 2, 3]"
2,2,What values are used to replace negative infinity values in input?,"bynan,posinf, andneginf","ReplacesNaN, positive infinity, and negative infinity values in inputwith the values specified bynan,posinf, andneginf, respectively.
By default,NaN`sarereplacedwithzero,positiveinfinityisreplacedwiththegreatestfinitevaluerepresentableby:attr:`input’s dtype, and negative infinity
is replaced with the least finite value representable byinput’s dtype. input(Tensor) – the input tensor. nan(Number,optional) – the value to replaceNaNs with. Default is zero. ",141,"[0, 1, 2, 3]"
3,3,What is the default value for negative infinity?,the least finite value,"ReplacesNaN, positive infinity, and negative infinity values in inputwith the values specified bynan,posinf, andneginf, respectively.
By default,NaN`sarereplacedwithzero,positiveinfinityisreplacedwiththegreatestfinitevaluerepresentableby:attr:`input’s dtype, and negative infinity
is replaced with the least finite value representable byinput’s dtype. input(Tensor) – the input tensor. nan(Number,optional) – the value to replaceNaNs with. Default is zero. ",141,"[0, 1, 2, 3]"
4,4,What is the value to replace positive infinity values with?,posinf,"nan(Number,optional) – the value to replaceNaNs with. Default is zero. posinf(Number,optional) – if a Number, the value to replace positive infinity values with.
If None, positive infinity values are replaced with the greatest finite value representable byinput’s dtype.
Default is None. neginf(Number,optional) – if a Number, the value to replace negative infinity values with.
If None, negative infinity values are replaced with the lowest finite value representable byinput’s dtype.
Default is None. ",295,"[4, 6]"
5,6,What is the value to replace negative infinity values with?,neginf,"nan(Number,optional) – the value to replaceNaNs with. Default is zero. posinf(Number,optional) – if a Number, the value to replace positive infinity values with.
If None, positive infinity values are replaced with the greatest finite value representable byinput’s dtype.
Default is None. neginf(Number,optional) – if a Number, the value to replace negative infinity values with.
If None, negative infinity values are replaced with the lowest finite value representable byinput’s dtype.
Default is None. ",295,"[4, 6]"
6,5,What is the greatest finite value represented by?,posinf,"input(Tensor) – the input tensor. nan(Number,optional) – the value to replaceNaNs with. Default is zero. posinf(Number,optional) – if a Number, the value to replace positive infinity values with.
If None, positive infinity values are replaced with the greatest finite value representable byinput’s dtype.
Default is None. ",288,[5]
7,7,What does Alias for torch.linalg.slogdet() do?,Performs a batch matrix-matrix product of matrices stored in input and mat2. Returns the matrix product of the NNN2-D tensors,"Performs a batch matrix-matrix product of matrices stored in input and mat2.   Returns the matrix product of the NNN2-D tensors.   Computes the Cholesky decomposition of a symmetric positive-definite matrixAAAor for batches of symmetric positive-definite matrices.   Computes the inverse of a symmetric positive-definite matrixAAAusing its Cholesky factoruuu: returns matrix inv.   Solves a linear system of equations with a positive semidefinite matrix to be inverted given its Cholesky factor matrixuuu.   Computes the dot product of two 1D tensors.   Computes the eigenvalues and eigenvectors of a real square matrix.   This is a low-level function for calling LAPACK’s geqrf directly.   Alias of torch.outer().   Computes the dot product for 1D tensors.   Alias for torch.linalg.inv()   Alias for torch.linalg.det()   Calculates log determinant of a square matrix or batches of square matrices.   Alias for torch.linalg.slogdet()   Computes the solution to the least squares and least norm problems for a full rank matrixAAAof size(m×n)(m \times n)(m×n)and a matrixBBBof size(m×k)(m \times k)(m×k).   Computes the LU factorization of a matrix or batches of matricesA.   Returns the LU solve of the linear systemAx=bAx = bAx=busing the partially pivoted LU factorization of A fromtorch.lu().   Unpacks the data and pivots from a LU factorization of a tensor into tensorsLandUand a permutation tensorPsuch thatLU_data,LU_pivots=(P@L@U).lu().   Matrix product of two tensors.   Alias for torch.linalg.matrix_power()   Returns the numerical rank of a 2-D tensor.   Computes the matrix exponential of a square matrix or of each square matrix in a batch.   Performs a matrix multiplication of the matricesinput and mat2.   Performs a matrix-vector product of the matrix inputand the vectorvec.   Alias for torch.linalg.householder_product().   Computes the matrix-matrix multiplication of a product of Householder matrices with a general matrix.   Outer product of inputandvec2.   Alias for torch.linalg.pinv()   ",118,"[7, 365, 367, 368, 858, 863, 866]"
8,365,Returns the what solve of the linear systemAx=bAx = bAx=busing the partially pivoted LU factorization,LU,"Performs a batch matrix-matrix product of matrices stored in input and mat2.   Returns the matrix product of the NNN2-D tensors.   Computes the Cholesky decomposition of a symmetric positive-definite matrixAAAor for batches of symmetric positive-definite matrices.   Computes the inverse of a symmetric positive-definite matrixAAAusing its Cholesky factoruuu: returns matrix inv.   Solves a linear system of equations with a positive semidefinite matrix to be inverted given its Cholesky factor matrixuuu.   Computes the dot product of two 1D tensors.   Computes the eigenvalues and eigenvectors of a real square matrix.   This is a low-level function for calling LAPACK’s geqrf directly.   Alias of torch.outer().   Computes the dot product for 1D tensors.   Alias for torch.linalg.inv()   Alias for torch.linalg.det()   Calculates log determinant of a square matrix or batches of square matrices.   Alias for torch.linalg.slogdet()   Computes the solution to the least squares and least norm problems for a full rank matrixAAAof size(m×n)(m \times n)(m×n)and a matrixBBBof size(m×k)(m \times k)(m×k).   Computes the LU factorization of a matrix or batches of matricesA.   Returns the LU solve of the linear systemAx=bAx = bAx=busing the partially pivoted LU factorization of A fromtorch.lu().   Unpacks the data and pivots from a LU factorization of a tensor into tensorsLandUand a permutation tensorPsuch thatLU_data,LU_pivots=(P@L@U).lu().   Matrix product of two tensors.   Alias for torch.linalg.matrix_power()   Returns the numerical rank of a 2-D tensor.   Computes the matrix exponential of a square matrix or of each square matrix in a batch.   Performs a matrix multiplication of the matricesinput and mat2.   Performs a matrix-vector product of the matrix inputand the vectorvec.   Alias for torch.linalg.householder_product().   Computes the matrix-matrix multiplication of a product of Householder matrices with a general matrix.   Outer product of inputandvec2.   Alias for torch.linalg.pinv()   ",118,"[7, 365, 367, 368, 858, 863, 866]"
9,367,Performs what of matrices stored in input and mat2?,a batch matrix-matrix product,"Performs a batch matrix-matrix product of matrices stored in input and mat2.   Returns the matrix product of the NNN2-D tensors.   Computes the Cholesky decomposition of a symmetric positive-definite matrixAAAor for batches of symmetric positive-definite matrices.   Computes the inverse of a symmetric positive-definite matrixAAAusing its Cholesky factoruuu: returns matrix inv.   Solves a linear system of equations with a positive semidefinite matrix to be inverted given its Cholesky factor matrixuuu.   Computes the dot product of two 1D tensors.   Computes the eigenvalues and eigenvectors of a real square matrix.   This is a low-level function for calling LAPACK’s geqrf directly.   Alias of torch.outer().   Computes the dot product for 1D tensors.   Alias for torch.linalg.inv()   Alias for torch.linalg.det()   Calculates log determinant of a square matrix or batches of square matrices.   Alias for torch.linalg.slogdet()   Computes the solution to the least squares and least norm problems for a full rank matrixAAAof size(m×n)(m \times n)(m×n)and a matrixBBBof size(m×k)(m \times k)(m×k).   Computes the LU factorization of a matrix or batches of matricesA.   Returns the LU solve of the linear systemAx=bAx = bAx=busing the partially pivoted LU factorization of A fromtorch.lu().   Unpacks the data and pivots from a LU factorization of a tensor into tensorsLandUand a permutation tensorPsuch thatLU_data,LU_pivots=(P@L@U).lu().   Matrix product of two tensors.   Alias for torch.linalg.matrix_power()   Returns the numerical rank of a 2-D tensor.   Computes the matrix exponential of a square matrix or of each square matrix in a batch.   Performs a matrix multiplication of the matricesinput and mat2.   Performs a matrix-vector product of the matrix inputand the vectorvec.   Alias for torch.linalg.householder_product().   Computes the matrix-matrix multiplication of a product of Householder matrices with a general matrix.   Outer product of inputandvec2.   Alias for torch.linalg.pinv()   ",118,"[7, 365, 367, 368, 858, 863, 866]"
